Participant_Number,Condition,Core_ID,Day,Core working order during session,Beginning_Max_Length_(cm),Beginning_Max_Width_(cm),Beginning_Max_Thickness_(cm),Beginning_Mass_(g),Ending_Mass_(g),Reduction_Intensity_%,Number_of_Detached_Pieces_Total,Utility_of_Detached_Pieces_Average,Utility_of_Detached_Pieces_Total,Number_of_Whole_Flakes_Total,Weight_of_Whole_Flakes_Average,Weight_of_Whole_Flakes_Total,Utility_of_Whole_Flakes_Average,Utility_of_Whole_Flakes_Total,Quantity,Quality,Economy
1,Child,1,1,1,14.1,7.6,7.2,697,686,1.578192253,0,0,0,0,0,0,0,0,-2.67342,-3.34502,-0.97123
1,Child,3,1,2,14.3,7.8,6.6,870,748,14.02298851,5,43.70780769,218.0516539,3,18.33333333,55,43.22042311,129.6612693,-1.17611,-0.09258,1.54543
1,Child,31,2,1,14.3,8.7,5.2,589,408,30.73005093,7,36.8763695,265.1984991,2,8,16,35.20157449,70.40314897,-1.31629,-0.66091,0.41506
1,Child,201,2,2,13.2,11.1,9.7,1078,1002,7.050092764,3,49.0067935,147.0203805,1,12,12,39.80514698,39.80514698,-1.57525,0.30513,1.57400
1,Child,149,3,1,20.2,13.5,5.6,1257,888,29.35560859,19,45.58141944,922.472337,14,12.5,175,50.56891932,707.9648705,1.20936,-1.72388,2.92547
1,Child,7,4,1,13.5,12.9,6,940,514,45.31914894,6,38.85500528,225.0764877,1,6,6,50.80265871,50.80265871,-1.23555,-0.01140,0.43774
1,Child,4,4,2,11.3,10.7,3.4,427,289,32.31850117,7,30.84351182,257.5229819,6,12.66666667,76,39.16719166,235.00315,-0.83793,-1.29605,1.01676
1,Child,89,4,3,13.2,12.9,7.1,1158,1110,4.14507772,2,24.17724616,48.35449233,0,0,0,0,0,-2.35808,-2.05298,-0.22555
1,Child,116,5,1,13.2,10.1,3.1,615,378,38.53658537,15,44.64854144,669.7639761,7,10.57142857,74,44.61268682,312.2888078,-0.03083,-0.83045,1.22256
1,Child,137,5,2,11.6,11.8,6.3,774,356,54.00516796,18,47.56836589,839.3303535,7,25.57142857,179,51.03428837,357.2400186,0.53914,-0.37821,0.94311
1,Child,256,5,3,16.2,9.6,6.8,1199,754,37.11426188,13,45.02864209,605.7394288,4,46,184,57.41300892,229.6520357,-0.07134,0.36674,1.01816
2,Child,14,1,1,13.8,9.7,6.6,1143,831,27.29658793,8,41.09789523,328.7831618,2,5.5,11,37.15945998,74.31891996,-1.22474,-0.46567,0.64184
2,Child,44,2,1,16.2,9.6,7.4,866,795,8.198614319,2,42.88890095,85.7778019,2,17,34,42.88890095,85.7778019,-1.51643,0.02686,1.64812
2,Child,32,2,2,13.4,8.4,5.9,446,407,8.744394619,2,35.80624394,71.61248789,0,0,0,0,0,-2.21163,-1.39983,0.09344
2,Child,78,3,1,12.4,9.7,8.8,882,790,10.430839,8,29.81053684,246.2526799,4,6.25,25,31.93546113,127.7418445,-1.32746,-1.45742,0.86243
2,Child,73,3,2,11,9.2,6.7,436,377,13.53211009,1,54.9919722,54.9919722,1,15,15,54.9919722,54.9919722,-1.44522,1.12126,2.15483
2,Child,105,4,1,12,9.3,7.9,1038,1016,2.119460501,0,0,0,0,0,0,0,0,-2.67022,-3.34302,-0.98386
2,Child,34,4,2,18.7,11.5,5.8,835,655,21.55688623,10,40.35012671,395.385972,4,24.75,99,53.03144709,212.1257883,-0.62329,-0.22347,1.41898
2,Child,117,5,1,11.4,7,5.3,461,312,32.32104121,6,43.67467998,303.6823017,2,12.66666667,38,41.63422175,124.9026653,-1.09523,-0.10400,0.90570
2,Child,258,5,2,16.4,13.1,5.8,1102,1032,6.352087114,5,30.83408139,149.309444,1,5,5,35.69504433,35.69504433,-1.75080,-0.92930,0.75686
3,Child,8,1,1,12,11.3,6.1,790,706,10.63291139,3,38.13970283,113.5702594,2,6,12,37.29085375,74.58170751,-1.61042,-0.52608,1.25980
3,Child,30,1,2,18.9,10.6,5.2,1029,694,32.55587949,6,39.64222466,232.151222,3,8,24,36.31096666,108.9329,-1.20873,-0.56196,0.75582
3,Child,46,2,1,16.7,10.2,4.3,930,375,59.67741935,15,44.98354884,608.621374,9,12.44444444,112,36.21767328,325.9590595,0.17009,-1.05671,0.82124
3,Child,38,2,2,11.6,9.1,5.4,600,226,62.33333333,11,37.37577049,371.9568138,1,27,27,48.54275512,48.54275512,-0.87432,0.04988,-0.49479
3,Child,79,3,1,14.6,8.6,4.4,739,208,71.85385656,8,54.47699534,438.8052418,4,7.5,30,55.97163485,223.8865394,-0.31206,0.58805,1.01018
3,Child,75,3,2,16.2,7.4,5.4,555,144.2,74.01801802,10,39.34556734,390.4806821,2,21.5,43,34.03070932,68.06141864,-0.83037,-0.30387,-0.81043
3,Child,171,3,3,13.6,12.1,4.5,1111,268,75.87758776,18,39.4618749,727.0043688,8,27,216,45.02541508,360.2033207,0.58599,-0.91344,0.17167
3,Child,13,4,1,10,9.2,8.5,414,351,15.2173913,3,35.69566518,107.0869955,3,10,30,35.69566518,107.0869955,-1.49780,-0.73776,1.18365
3,Child,119,4,2,16.1,9,7.2,1151,789,31.45091225,16,40.969354,648.0523409,6,21.33333333,128,42.60088386,255.6053032,-0.13837,-0.82877,0.89965
3,Child,37,4,3,12.8,7.1,6.4,803,648,19.30261519,8,38.58384235,312.5133796,3,12.66666667,38,41.76862543,125.3058763,-1.10448,-0.54877,1.03149
3,Child,118,5,1,13.1,11.9,5.3,623,327,47.51203852,13,42.2710875,553.4228481,4,16.75,67,49.758256,199.033024,-0.37509,-0.30095,0.59540
3,Child,142,5,2,16.7,9.1,6.3,960,156.9,83.65625,10,46.09507222,420.8975208,1,54,54,57.14859402,57.14859402,-0.49454,1.17009,-0.59758
3,Child,260,5,3,15,8.4,7.7,1128,988,12.41134752,6,38.54016012,240.0882352,1,16,16,32.81309429,32.81309429,-1.55093,-0.45066,0.67038
4,Child,6,1,1,13.9,8.8,3.3,462,333,27.92207792,3,39.37324877,118.1197463,0,0,0,0,0,-2.01118,-1.16407,-0.28897
4,Child,9,1,2,15.6,11,3.8,703,404,42.53200569,6,44.4779587,288.7500566,1,6,6,29.62310318,29.62310318,-1.35255,-0.22888,0.14116
4,Child,42,1,3,14.8,11.7,8.2,1129,903,20.01771479,6,41.85048463,251.1029078,3,35,105,53.72093738,161.1628122,-0.89180,0.25170,1.50177
4,Child,39,2,1,17.2,9.1,5.2,498,277,44.37751004,4,44.70332879,178.8133152,0,0,0,0,0,-1.80210,-0.84456,-0.55013
4,Child,131,2,2,14.8,7.8,9.4,1007,885,12.11519364,6,43.98405939,263.9043563,3,9.666666667,29,46.18263458,138.5479037,-1.14845,-0.17107,1.66352
4,Child,48,2,3,14.3,10.2,8.1,864,573,33.68055556,13,43.75042958,535.0348388,4,15.25,61,43.49191781,173.9676712,-0.54435,-0.41398,0.79115
4,Child,185,3,1,11.1,10.1,9.4,1163,529,54.51418745,9,42.69129834,396.0435818,4,89.75,359,45.8548762,183.4195048,-0.05257,0.81550,0.24203
4,Child,76,3,2,11.7,8.2,7.2,546,209,61.72161172,7,33.07012807,254.6908411,1,5,5,20.81795085,20.81795085,-1.41988,-1.02100,-0.97379
4,Child,121,4,1,13.4,11.1,8.9,1008,169.7,83.16468254,4,45.19249203,180.7699681,2,24,48,45.08462738,90.16925476,-0.88618,0.50865,-0.13389
4,Child,41,4,2,17.2,9.2,5.3,948,306,67.72151899,16,47.90220156,761.4241561,7,39.14285714,274,48.83039184,341.8127429,0.63671,-0.08034,0.63404
4,Child,18,4,3,12.8,11.6,3.3,666,314,52.85285285,3,50.76427535,152.2928261,0,0,0,0,0,-1.73999,-0.45194,-0.46039
4,Child,262,5,1,14,11.8,6.3,1012,497,50.88932806,14,49.36272005,650.7518253,2,31.5,63,59.94468629,119.8893726,-0.29934,0.73570,0.43827
4,Child,143,5,2,14.5,8.7,7.2,981,345,64.83180428,19,44.85440263,849.605987,7,33.28571429,233,47.3515941,331.4611587,0.63695,-0.45591,0.36971
4,Child,120,5,3,12.7,7.7,4.5,537,273,49.16201117,12,50.35669412,610.5448307,7,15.85714286,111,53.79495786,376.564705,0.17415,-0.16491,1.69308
5,Child,11,1,1,12.8,9.1,6.5,596,559,6.208053691,1,47.90528056,47.90528056,0,0,0,0,0,-2.15838,-0.71508,0.66740
5,Child,12,1,2,19.6,8.2,4.6,705,655,7.092198582,2,33.59119222,67.18238443,2,5,10,33.59119222,67.18238443,-1.76968,-0.85525,1.14372
5,Child,49,1,3,14.3,10.7,8.1,1065,708,33.52112676,8,48.1758865,374.5832309,1,30,30,52.77923333,52.77923333,-0.97529,0.73870,0.79542
5,Child,50,2,1,13.1,10.5,8.1,721,440,38.97364771,6,43.0239504,258.1437024,3,8,24,35.95429299,107.862879,-1.12823,-0.36581,0.70699
5,Child,40,2,2,15.4,9.9,5.9,666,598,10.21021021,4,48.88134809,185.4778866,3,11,33,43.85759523,131.5727857,-1.23496,0.12064,1.94876
5,Child,132,2,3,16.9,16.2,4.7,1211,1011,16.51527663,5,28.060821,182.6008289,4,34.25,137,42.15972896,168.6389158,-1.09418,-0.85378,1.01420
5,Child,81,3,1,13.9,7.6,6,452,328,27.43362832,9,38.64196162,347.1841984,4,12.5,50,39.23541788,156.9416715,-0.92176,-0.71651,0.90136
5,Child,85,3,2,15.7,11.6,7.7,827,537,35.06650544,9,48.15255951,380.3023925,4,16.5,66,42.20694403,168.8277761,-0.70412,-0.05500,1.13981
5,Child,187,3,3,18.1,11.2,6.3,1154,575,50.17331023,10,39.06646099,405.060808,7,13,91,38.7706131,271.3942917,-0.37460,-0.99072,0.87416
5,Child,63,4,1,12.3,9.6,3.7,426,292,31.45539906,8,50.11177705,340.0161793,1,28,28,73.99953083,73.99953083,-0.80728,1.32345,1.48630
5,Child,43,4,3,18.1,8.2,4.4,707,260,63.22489392,20,36.24057563,807.5044078,13,16.07692308,209,43.59906656,566.7878653,1.05540,-1.98633,1.21866
5,Child,155,4,3,11.7,7.6,7.8,951,758,20.29442692,5,38.56132748,228.8117515,4,41.75,167,50.56303219,202.2521288,-0.78878,0.00447,1.53032
5,Child,152,5,1,17.8,7.5,5.1,820,457,44.26829268,14,37.0386917,618.7312727,10,24.9,249,45.9086305,459.086305,0.47475,-1.31124,1.52330
5,Child,122,5,2,15.6,10.8,3.1,553,170.1,69.24050633,3,56.38987764,165.3746954,1,17,17,60.18481517,60.18481517,-0.92903,1.48442,0.87518
5,Child,263,5,3,15.7,9.6,9.1,1192,585,50.92281879,21,39.17863845,895.5622299,6,23.5,141,44.68640276,268.1184166,0.29709,-0.94894,0.08464
6,Child,15,1,1,14.9,8.6,9.3,782,472.6,39.56521739,2,56.96833063,113.9366613,0,0,0,0,0,-1.81250,-0.12857,0.15014
6,Child,33,1,2,17.1,9.4,7.9,1060,869.3,17.99056604,5,56.10812575,279.4212294,4,21,84,55.73499263,222.9399705,-0.69813,0.76526,2.48153
6,Child,52,2,1,18.7,9.5,6.6,963,600.1,37.68431983,6,42.67828233,259.0190013,2,17,34,41.20362867,82.40725734,-1.14924,-0.03822,0.63260
6,Child,45,2,2,16.4,9.4,3.1,540,405.9,24.83333333,7,40.73577384,280.7773669,3,17.66666667,53,45.10882378,135.3264713,-1.03038,-0.24148,1.11914
6,Child,84,3,1,16.5,8,4.3,465,289.2,37.80645161,4,39.89596971,168.9984318,1,19,19,35.18869322,35.18869322,-1.45331,-0.12918,0.29783
6,Child,193,3,2,15.1,11.6,7.8,1080,802.4,25.7037037,11,42.91173337,461.0548315,4,20,80,41.64926712,166.5970685,-0.68593,-0.40148,0.99214
6,Child,225,4,1,15.1,8.4,7.7,1033,785.8,23.9303001,3,39.57710372,124.8167214,0,0,0,0,0,-2.02876,-1.16920,-0.19243
6,Child,106,4,2,13.4,7.6,4.6,478,282.2,40.9623431,6,42.07327171,251.6350658,0,0,0,0,0,-1.74852,-1.06088,-0.69795
6,Child,77,5,1,18.6,8,7.1,814,488.3,40.01228501,13,45.52513662,588.3064308,4,16.5,66,48.89893506,195.5957402,-0.38096,-0.17869,0.84483
6,Child,265,5,2,11.4,11.3,6.8,1043,908,12.94343241,6,47.24496372,291.1940453,4,13.5,54,51.10709522,204.4283809,-0.88677,0.03475,2.10106
7,Child,16,1,1,12.8,11.3,7.6,817,721,11.750306,5,38.2848041,190.332521,2,7.5,15,39.37630356,78.75260712,-1.47428,-0.50647,1.15811
7,Child,53,2,1,11.8,8.3,5.1,500,484,3.2,1,28.49626927,28.49626927,1,7,7,28.49626927,28.49626927,-2.02792,-1.10387,0.78758
7,Child,55,2,2,14.6,9,5.6,728,359,50.68681319,2,37.7352208,75.4704416,1,11,11,29.16056744,29.16056744,-1.58901,-0.38339,-0.04760
7,Child,135,2,3,13.4,10.2,7.6,1029,1021,0.777453839,0,0,0,0,0,0,0,0,-2.67815,-3.34797,-0.95255
7,Child,86,3,1,12.7,10.2,3.8,421,355,15.67695962,5,39.07063049,183.5594011,2,6.5,13,29.16319419,58.32638838,-1.55696,-0.69063,0.82488
7,Child,92,3,2,14,11.4,6.6,905,826,8.729281768,4,47.91500395,196.4673687,1,20,20,45.51132749,45.51132749,-1.43926,0.45695,1.51701
7,Child,103,4,1,14.6,13.7,3.3,796,513,35.55276382,3,47.32624012,144.7171251,2,12,24,50.06464485,100.1292897,-1.20261,0.43305,1.32547
7,Child,107,4,2,12.8,9.4,4.2,522,132.7,74.57854406,5,41.18309415,206.5744847,1,12,12,40.96342284,40.96342284,-1.14722,0.09411,-0.38827
7,Child,124,5,1,12.7,9.7,3.4,417,356,14.62829736,1,44.39359639,44.39359639,0,0,0,0,0,-2.14248,-0.87708,0.33996
7,Child,267,5,2,16.3,10.5,7.1,1232,767,37.74350649,15,44.4967525,679.6274611,6,20.66666667,124,45.45347393,272.7208436,-0.03988,-0.55707,1.01455
9,Child,21,1,1,15.4,9.6,6.6,621,437,29.62962963,6,39.14058579,243.4639322,4,31.75,127,42.01405826,168.056233,-0.87283,-0.26728,1.05613
9,Child,19,1,2,16.4,7.3,5.2,704,498,29.26136364,4,36.08145283,149.0412068,0,0,0,0,0,-1.98762,-1.36876,-0.50544
9,Child,80,1,3,18.2,9.4,6.3,1104,725,34.32971014,8,41.54373975,320.4509691,2,68,136,45.85532747,91.71065495,-0.80084,0.61435,0.39182
9,Child,61,2,1,17.7,9.7,3.9,765,372,51.37254902,7,55.8469615,392.7733746,4,42.5,170,56.16991881,224.6796752,-0.21951,1.11627,1.45195
9,Child,148,2,2,14.9,11.3,7.2,1198,812,32.22036728,7,44.78519516,312.0832056,3,69,207,47.64385605,142.9315681,-0.59501,0.75811,0.89259
9,Child,59,2,3,12.8,10.4,4.1,472,168.5,64.30084746,4,38.74840323,154.9936129,0,0,0,0,0,-1.75290,-1.09397,-1.22555
9,Child,91,3,1,12,6.9,5.5,520,344,33.84615385,9,40.6758842,377.1727442,3,23.33333333,70,49.13604313,147.4081294,-0.78591,-0.11219,0.85500
9,Child,96,3,2,12.4,10.1,7.7,713,493,30.85553997,7,42.93843408,299.4380431,0,0,0,0,0,-1.74461,-1.08247,-0.50052
9,Child,10,3,3,11.1,8.2,7.2,1159,452,61.00086281,11,49.09099106,555.0534412,5,30,150,57.30387547,286.5193773,0.06510,0.37563,1.04497
9,Child,114,4,1,13.9,13.5,3.4,748,460,38.5026738,13,49.75407039,658.3487406,5,28,140,61.29989591,306.4994796,0.09241,0.31098,1.59437
9,Child,243,4,2,16.8,13.1,4.6,1049,235,77.59771211,24,39.02054223,1051.821806,7,32.71428571,229,51.09953991,357.6967794,0.96992,-0.82756,-0.33264
9,Child,111,4,3,11.7,6.4,7.8,460,91.2,80.17391304,8,39.09440361,291.5711496,1,36,36,48.31248743,48.31248743,-0.85266,0.40176,-0.73265
9,Child,127,5,1,12.6,5.6,4.8,657,305,53.57686454,12,41.46314392,517.4105019,3,42,126,39.04690987,117.1407296,-0.49982,-0.05258,-0.18438
9,Child,164,5,2,14.4,11.1,7,857,420,50.99183197,16,43.72319405,697.794493,4,17.75,71,47.35474464,189.4189786,-0.19631,-0.33938,0.27294
9,Child,36,5,3,14.9,13.6,9.8,1202,469,60.98169717,18,45.13133628,830.1946127,7,35.14285714,246,50.96078804,356.7255163,0.65703,-0.34039,0.65831
10,Child,23,1,1,9.6,7.7,6.7,419,260.8,37.75656325,5,25.99037566,130.7104745,3,61,183,26.74897187,80.24691562,-1.18197,-0.73074,-0.33563
10,Child,24,1,2,13.7,9.3,8,812,613.3,24.47044335,6,40.56619981,231.893509,2,40,80,46.31804477,92.63608955,-1.10256,0.22462,0.89115
10,Child,179,2,1,13.1,9.7,8.2,1190,264,77.81512605,24,45.37301081,1093.032852,10,31.2,312,49.15280934,491.5280934,1.46076,-0.90079,0.48429
10,Child,62,2,2,16.2,10,6.4,702,315.8,55.01424501,12,48.62235729,539.4693344,0,0,0,0,0,-1.27096,-0.84061,-1.20508
10,Child,97,3,1,14.6,9.7,5.8,739,698.6,5.466847091,1,29.5300497,29.5300497,1,6,6,29.5300497,29.5300497,-1.99871,-1.02713,0.80531
10,Child,56,3,2,16.6,14.3,4.1,1255,1011.2,19.42629482,8,51.68858623,444.3269501,7,27.57142857,193,56.82496295,397.7747406,-0.01938,0.15095,2.78512
10,Child,248,4,1,13.5,9.7,10.9,1082,517.7,52.15341959,16,40.53996918,689.2191782,6,21.33333333,128,49.11656588,294.6993953,0.10272,-0.66886,0.61436
10,Child,125,4,2,14.6,9.7,6.8,964,548,43.15352697,12,38.63564155,474.3087566,3,32.66666667,98,52.34861737,157.0458521,-0.51832,-0.07871,0.42483
10,Child,275,5,1,15.8,15.4,6.6,1203,16.7,98.61180382,33,43.54785504,1564.792492,20,27.4,548,51.32781765,1026.556353,3.57495,-2.49071,1.66816
10,Child,166,5,2,15.8,8,6.1,861,225.1,73.85598142,21,47.87642463,1027.957485,11,21.72727273,239,57.45695709,632.026528,1.51317,-0.87507,1.48065
11,Child,25,1,1,11.9,6.4,6.8,474,339,28.48101266,7,32.85871555,241.2565775,3,10.33333333,31,37.69410655,113.0823196,-1.23252,-0.91229,0.57660
11,Child,28,1,2,14.9,10.9,8.2,893,698,21.83650616,6,43.09405131,241.5756627,2,18.5,37,51.58837389,103.1767478,-1.13708,0.18502,1.30713
11,Child,65,2,1,13,10.3,5.8,562,371,33.98576512,6,38.20990439,252.5579098,3,28,84,51.11560534,153.346816,-0.91267,-0.04987,0.99485
11,Child,154,2,2,14.6,9.1,9.4,1230,1100,10.56910569,2,33.16802737,66.33605475,1,77,77,50.13912376,50.13912376,-1.45561,0.56830,0.85394
11,Child,64,2,3,16.5,8.6,6.3,821,773,5.846528624,1,43.74172933,43.74172933,1,6,6,43.74172933,43.74172933,-1.73150,0.09194,1.68484
11,Child,101,3,1,15.8,10.7,3.5,584,255,56.33561644,17,41.57936759,709.6763406,8,10.75,86,40.99174429,327.9339543,0.18357,-1.16136,0.63991
11,Child,134,4,1,16.6,8.8,4.7,977,375,61.6171955,25,40.2009439,1039.259045,11,13.54545455,149,43.79206229,481.7126852,1.06761,-1.73442,0.65535
11,Child,129,5,1,15.9,9.8,3.8,636,100.6,84.18238994,18,47.85650827,866.3581543,4,44.75,179,48.53220571,194.1288228,0.40426,0.33205,-0.62295
11,Child,278,5,2,11.7,9.1,6.2,1042,530,49.13627639,12,42.00177226,532.585962,7,42.85714286,300,48.16049372,337.123456,0.25727,-0.29136,1.11384
12,Child,94,1,1,14.7,9.5,7.6,1027,791,22.97955209,10,48.19646516,406.5762873,3,23.66666667,71,49.67828563,149.0348569,-0.72978,0.25173,1.34908
12,Child,26,1,2,12.5,10.7,6.4,454,306,32.59911894,5,35.58621261,185.0528787,3,30.66666667,92,42.70802828,128.1240848,-1.09217,-0.30650,0.74653
12,Child,69,2,1,13.9,7.4,6.2,495,134.4,72.84848485,11,45.25594383,463.4159861,3,15.66666667,47,43.96183306,131.8854992,-0.51307,0.00659,-0.13280
12,Child,156,2,2,17.1,10.7,6.5,1289,454,64.77889837,20,39.53798896,872.4051078,10,43.8,438,48.67449071,486.7449071,1.26678,-0.93531,0.82209
12,Child,67,2,3,15.3,12.4,7.1,813,452,44.40344403,9,43.57325151,388.7378951,2,54.5,109,55.61432788,111.2286558,-0.61879,0.76683,0.49340
12,Child,99,3,1,10.2,9.4,7.2,754,628,16.71087533,5,50.45124106,241.4411328,3,24.66666667,74,45.04370482,135.1311145,-1.02632,0.40949,1.74553
12,Child,104,3,2,13.4,8.3,5.5,658,520,20.97264438,5,42.24987505,194.534134,1,17,17,44.6838367,44.6838367,-1.41094,0.11132,0.97441
12,Child,115,5,1,13.7,9.1,3.1,433,282,34.87297921,8,39.00826955,327.5570219,5,12.8,64,45.31910099,226.595505,-0.71050,-0.63822,1.19875
12,Child,255,5,2,15.2,11.6,9.2,1136,507,55.36971831,24,42.93688983,1080.301408,14,18.35714286,257,47.06749127,658.9448778,1.59889,-1.84132,1.71753
13,Child,130,1,1,11.2,7.1,4.9,491,197,59.87780041,8,41.59738363,324.7147896,0,0,0,0,0,-1.54344,-1.07608,-1.28516
13,Child,169,1,2,12.2,8.8,8.6,736,169.3,76.99728261,13,45.03009131,576.3147156,2,25.5,51,45.40878986,90.81757971,-0.43293,0.22375,-0.61396
13,Child,159,2,1,14.8,8.9,8.1,686,266,61.2244898,12,39.82365246,507.2081412,2,20.5,41,36.08154207,72.16308414,-0.76070,-0.36123,-0.58776
13,Child,312,2,2,13.8,9.6,9.6,1084,255,76.47601476,16,40.35241404,631.5442827,7,34,238,40.78064575,285.4645203,0.35354,-0.64686,-0.07146
13,Child,188,2,3,15.4,9.2,5.7,853,310,63.65767878,15,41.24984073,638.3365985,8,20,160,41.14798994,329.1839195,0.24363,-0.94769,0.56235
